LAD23NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
Manchester,551955,34382,36571,36343,42396,61886,52583,48022,42050,35776,31069,30364,26703,21647,16486,13810,9215,6685,5967
Mansfield,110496,5959,6587,6567,5353,5506,7188,7909,7663,6562,6764,7943,8157,7029,5905,5716,4326,2784,2578
Medway,279747,17311,18348,18020,16219,15943,18340,20346,19470,18452,17655,19135,18779,15668,12936,13004,8942,6025,5154
Melton,51751,2417,2827,2986,2556,2247,2636,2870,2792,2937,3226,4164,4309,3620,3252,3428,2450,1543,1491
Merthyr Tydfil,58836,3300,3660,3576,3120,3219,3692,4143,4022,3339,3502,4123,4254,3781,3146,3158,2169,1433,1199
Merton,215200,13540,13298,13165,10680,11162,17206,19144,18948,18114,15520,14489,12585,10247,7875,7123,4762,3748,3594
Mid Devon,82850,4025,4587,5042,4416,3593,4130,4484,4730,4614,5142,6188,6353,5646,5184,5416,4022,2653,2625
Mid Suffolk,102721,4502,5191,5587,5228,4638,5445,5739,5529,5480,6439,7632,8046,7283,6741,7296,5230,3460,3255
Mid Sussex,152552,8316,9385,9739,8013,6364,7661,9193,9907,10488,11036,11374,10695,8881,7883,8220,6417,4273,4707
Middlesbrough,143938,8928,9797,9460,8574,10177,10329,10328,9374,8052,7916,8746,9370,8723,7216,6462,4291,3233,2962
Milton Keynes,287097,17734,20264,20614,16355,14986,19033,22016,23017,22400,20187,19314,17093,14485,12223,11183,7252,4652,4289
Mole Valley,87378,4013,4674,5320,4658,3663,4025,4209,4780,5465,6144,6835,6909,5923,5128,5198,4161,3016,3257
Monmouthshire,92962,3962,4637,5157,4574,3869,4495,4729,4905,5039,5808,7260,7827,6662,6194,6404,4887,3292,3261
Neath Port Talbot,142295,7040,7973,8422,8859,7669,8339,8841,8752,8201,8435,9777,10328,9520,8357,8251,5876,3977,3678
New Forest,175770,7237,8640,9385,8259,7058,7736,8474,8650,9020,10199,12648,14022,12803,12160,13522,10389,7453,8115
Newark and Sherwood,122964,6059,6672,6920,6273,6094,7234,7504,7172,6930,7763,9193,9268,8206,7227,7694,5656,3737,3362
Newcastle upon Tyne,300106,15644,16703,16401,23369,36642,23390,21241,19589,16951,16050,16752,17355,15496,12679,11796,7856,5979,6213
Newcastle-under-Lyme,123307,5789,6509,6514,7643,8577,6855,7554,7182,6892,7539,8844,8757,7916,6847,7276,5326,3770,3517
Newham,351010,23853,23320,23288,22148,28285,36033,36692,32532,27384,22771,20473,16307,12757,9101,6304,4002,3186,2574
Newport,159604,9731,10336,10220,8684,8739,11066,12539,11149,9938,9715,10777,10677,8979,7278,7252,5355,3740,3429
North Devon,98557,4510,5220,5622,4977,4233,5042,5375,5085,5279,5911,7104,7635,7118,6289,6928,5297,3437,3495
North East Derbyshire,102003,4835,5383,5481,4826,4580,5624,5704,5586,5604,6340,7743,7822,7140,6447,6870,5465,3563,2990
North East Lincolnshire,156953,8457,9522,9568,8398,7973,9316,10404,9520,8415,9457,11078,11806,10212,8742,8857,6218,4666,4344
North Hertfordshire,133189,7473,8229,8267,6650,5829,7637,8675,9011,9400,9531,9473,9428,7758,6546,6739,5012,3662,3869
North Kesteven,118064,5529,6616,6638,5892,5501,6623,7081,6923,6542,7467,8987,9055,7607,6669,7620,5818,4090,3406
North Lincolnshire,169691,8448,9643,10109,8906,8119,9676,10619,10297,9275,10402,12514,12985,11413,10033,10233,7293,5002,4724
North Norfolk,102988,3668,4423,4816,4412,3883,4306,4628,4574,4500,5528,7068,8119,8553,8349,9457,7013,4758,4933
North Northamptonshire,359540,20209,22473,23241,19760,17783,22371,24861,24388,23336,23945,26467,24908,20464,18014,18385,13071,8250,7614
North Somerset,216688,10655,12254,12838,10827,9787,10791,12325,13059,13403,14127,15497,15773,13506,12518,13944,10751,7276,7357
North Tyneside,208967,10995,11947,12151,10364,9509,12209,13863,14310,13629,13635,14635,15223,13599,12152,11818,7847,5634,5447
North Warwickshire,65049,3205,3638,3625,3225,3136,3729,4068,3801,3554,4202,5104,5061,4426,3743,3953,2944,1921,1714
North West Leicestershire,104711,5453,5870,6055,5437,5789,6251,6734,6501,6291,7181,8073,7627,6447,5641,6067,4357,2662,2275
North Yorkshire,615511,27720,31235,33670,31947,26258,31324,33720,33236,33288,37870,46599,49685,45150,39960,42217,30426,21179,20027
Northumberland,320539,14237,16687,17410,15674,13903,15914,16934,17399,17413,19672,23214,25781,24765,22589,22978,15805,10585,9579
Norwich,143942,6925,7603,7350,10264,16473,12061,11686,10417,8978,8228,8258,7774,6417,5825,5640,4078,2845,3120
Nottingham,323633,17817,19253,18807,31702,43628,24263,24190,21194,18381,17612,17860,17037,13918,10895,9781,6871,5122,5302
Nuneaton and Bedworth,134207,7756,8167,8170,6938,7070,8738,9714,8851,8114,8419,9553,9216,7899,6878,6964,5304,3480,2976
Oadby and Wigston,57723,2863,3506,3470,4223,2927,3168,3484,3543,3491,3441,3865,3915,3524,2988,3055,2377,1850,2033
Oldham,242099,16011,17447,18068,16251,14138,14976,16723,16189,15086,14847,16051,15074,12635,10817,10645,7588,5345,4208
Oxford,162038,7133,7851,8649,15878,21998,15362,13310,10995,9645,8812,8804,8198,6438,5224,4868,3550,2562,2761
Pembrokeshire,123363,5580,6737,7141,6245,5615,6281,6630,6281,6226,6957,8656,9624,9048,8617,8824,6541,4316,4044
Pendle,95753,5958,6549,6765,5768,5224,5587,6430,6518,5858,5878,6276,6146,5552,4804,4950,3303,2167,2020
Peterborough,215655,14156,15739,15502,12543,11683,15326,17293,17246,15290,13846,13703,12353,10396,8618,8116,5686,4107,4052
Plymouth,264734,13208,15123,15032,15922,21162,17940,18411,17369,15590,15768,17625,17323,15287,12897,13154,9738,6705,6480
Portsmouth,208018,11287,12125,11661,14499,20033,15370,15954,14908,12546,12163,13343,12798,10522,8346,8207,5884,4139,4233
Powys,133142,5728,6539,6988,6419,5696,6505,6726,6479,6395,7747,9717,10675,10408,9815,10044,7538,5026,4697
Preston,147811,8917,9246,9229,9766,12602,11013,10730,9936,9137,8985,9460,9315,7689,6180,5697,3999,2977,2933
Reading,174202,10237,10476,10246,10987,14690,14589,15637,14589,12821,11309,10745,9497,7427,5835,5304,3994,2927,2892
Redbridge,310192,21175,21725,21422,19315,18961,21744,24893,26227,24778,21124,19416,17005,14490,11270,9618,6651,5165,5213
Redcar and Cleveland,136488,6812,7865,7991,7121,6577,7458,7910,7603,7253,7946,10007,10647,9554,8495,8675,6340,4484,3750
Redditch,87054,4999,5401,5372,4624,4491,5738,6417,6042,5852,5543,5804,5561,5061,4799,4686,3167,1884,1613
Reigate and Banstead,150877,9040,10030,9877,7664,6546,8439,10441,10925,11059,10733,10571,10371,8465,6803,7067,5108,3572,4166
Rhondda Cynon Taf,237643,12519,14030,14520,13421,14321,14738,16082,15213,13578,14681,16663,16795,14448,12821,13211,9312,6114,5176
Ribble Valley,61544,2632,3040,3674,3254,2718,2890,3243,3233,3333,3977,4981,5134,4587,3757,4044,3037,2083,1927
Richmond upon Thames,195290,11102,12809,13228,10162,8240,9949,12093,14346,16355,16251,15401,13649,10243,8359,8734,6161,4063,4145
Rochdale,223747,14648,15479,15720,13455,12192,14079,15904,15319,14130,13983,15106,14386,12492,10846,10330,6983,4591,4104
Rochford,85637,4263,4611,5138,4448,4194,4475,4665,4881,5033,5578,6557,6337,5465,4747,5546,4103,2838,2758
Rossendale,70886,3782,4362,4579,3793,3247,4108,4604,4406,4321,4745,5550,5273,4457,3894,3987,2619,1639,1520
Rother,93099,3731,4224,4759,4291,3752,3933,4120,3991,4180,5064,6517,7350,7004,6865,8319,6246,4255,4498
Rotherham,265821,14637,15970,16543,14478,14091,16411,18028,16999,15276,16655,19476,18608,16407,14034,14212,10645,7229,6122
Rugby,114393,6368,7115,7229,6195,5573,7242,8355,8196,7655,7668,8076,7688,6221,5106,5434,4466,3040,2766
Runnymede,88083,4779,4793,4865,6551,7435,5005,5632,5673,5725,5981,5950,5809,4725,3774,3805,2979,2127,2475
Rushcliffe,119097,5851,6871,7324,6393,6304,6119,6791,7363,7770,7995,8680,8582,7297,6450,6865,5193,3508,3741
Rushmoor,99750,6199,6087,5557,5076,5590,7631,8772,7746,6881,6508,6957,6586,5031,4053,4216,3071,2042,1747
Rutland,41058,1648,1974,2539,2761,1849,2135,2185,2218,2341,2447,2967,2908,2698,2497,2832,2132,1470,1457
Salford,269912,17254,16720,16065,15496,22664,26433,24433,20458,16340,14970,15432,15053,12666,9682,9969,6890,5011,4376
Sandwell,341775,22159,24571,24347,21999,20363,22518,24924,24531,23225,22309,23059,20844,17225,13867,12660,9666,7141,6367
Sefton,279289,13519,15075,15289,14030,13504,15225,17139,16830,15558,16712,20111,21678,19829,16901,16495,12440,9599,9355
Sevenoaks,120508,6716,7583,8051,6542,4961,5696,6670,7341,7822,8219,8843,8755,7366,6414,6939,5150,3611,3829
Sheffield,556594,30181,32030,32046,37456,50874,40548,38876,35028,32128,32232,36331,34471,29524,24793,24621,18893,13768,12794
Shropshire,323570,14428,16247,17252,16909,15124,16869,17948,17262,16675,19970,24303,25539,22964,20812,21954,17008,11487,10819
Slough,158497,11764,12688,12829,9918,8956,10652,12854,14498,13758,11086,9604,7951,6631,5116,3828,2482,1975,1907
Solihull,216249,11685,13778,13608,11799,10753,11979,13030,13142,13059,13765,15636,15438,12976,10945,12074,9405,6476,6701
Somerset,571589,27049,30536,32641,29822,25980,30526,33067,31518,30548,34680,41537,43230,38556,36150,38593,28553,19189,19414
South Cambridgeshire,162113,8779,10378,10642,8695,6285,8322,10112,11079,11837,11903,11820,11159,9295,8086,8510,6394,4417,4400
South Derbyshire,107214,5761,6438,6677,5721,5198,6892,7160,6921,6677,7333,8412,7758,6334,5675,5582,3988,2439,2248
South Gloucestershire,290456,16108,17129,16746,16204,18095,19407,20472,19679,18069,18067,20313,19866,16089,13523,14062,11343,7747,7537
South Hams,88626,3532,4439,4754,4260,3344,3716,4304,4390,4535,5234,6531,7360,7145,6498,7001,5031,3248,3304
South Holland,95136,4740,5137,5190,4552,4545,5244,5840,5518,5338,6065,6926,7166,6174,5618,6230,4547,3235,3071
South Kesteven,143416,6750,8126,8852,7371,6118,7515,8055,8149,8441,9510,10857,10909,9631,8589,9106,6850,4406,4181
South Norfolk,141963,6994,8112,8077,6904,5974,7302,8173,8483,8329,9249,10111,10494,9249,8446,9441,7125,4798,4702
South Oxfordshire,149078,7978,8785,9082,7636,6449,8304,9334,9632,9740,10284,11423,10848,8985,7634,7879,6347,4462,4276
South Ribble,111043,5502,6341,6470,5675,5192,6163,7071,6689,6620,7398,8311,8477,7098,6320,6741,4756,3311,2908
South Staffordshire,110461,4921,5506,5579,5221,5435,5870,6184,6221,5874,6773,8418,8824,7895,6838,7346,5984,4092,3480
South Tyneside,147790,7830,8470,8630,7474,7288,8682,9862,9382,8458,8748,10417,11238,10473,8783,8370,5553,4299,3833
Southampton,248921,13801,14457,13825,16765,26147,20730,20170,18331,16413,14612,14002,13763,11677,9621,8993,6632,4417,4565
Southend-on-Sea,180687,10252,10895,11158,9183,9355,11219,11932,12194,12153,12321,12546,12503,10418,8808,9208,6848,4716,4978
Southwark,307609,16357,15895,16227,16194,25471,38269,34958,26539,21852,19913,19545,17568,13142,8393,6663,4364,3270,2989
Spelthorne,102980,6018,6379,6084,5114,4923,6038,7421,7615,7443,6906,7352,7312,5788,4602,4668,3652,2836,2829
St Albans,148152,8667,10321,11078,8261,5952,7429,8677,9819,11546,11766,11248,9975,7937,6428,6551,4873,3663,3961
St. Helens,183248,9649,10340,10610,9385,9371,11524,12252,11718,10705,11814,13445,13295,11498,9967,10537,7551,5204,4383
Stafford,136869,6722,7410,7662,6424,6329,7827,8541,8222,8106,8768,10331,10137,8948,7922,8403,6657,4505,3955
Staffordshire Moorlands,95874,4077,4790,5174,4746,4118,4600,4990,4992,4907,6096,7800,7616,6840,6330,7000,5244,3515,3039
Stevenage,89498,5619,5923,5694,4739,4782,6235,7310,6780,5954,5502,6208,6210,4987,3755,3462,2503,1864,1971
Stockport,294793,16589,18069,17923,14753,13358,16952,20068,20389,19507,19189,20567,20468,17699,15309,15645,11484,8567,8257
Stockton-on-Tees,196608,10731,12433,13017,10620,9697,11917,13144,13045,11965,12176,13928,14015,12739,10789,10257,6875,4954,4306
Stoke-on-Trent,258364,15634,16981,16835,15109,16954,17148,19077,17607,15478,15606,16924,16341,14400,12328,11919,8690,6006,5327
Stratford-on-Avon,134723,6241,6950,7492,6369,5404,6698,7472,7356,7698,8830,10308,10644,9350,8253,8968,7246,4796,4648
Stroud,121112,5649,6663,7262,6281,5023,6078,6541,6742,7089,8217,9497,9375,8483,7404,7747,5558,3766,3737
Sunderland,274185,13841,15236,16034,14648,15146,17023,18041,17062,15658,16826,19443,20033,18921,16103,15498,10214,7711,6747
Surrey Heath,90455,4475,5345,5760,4866,4232,4889,5442,5775,6091,6610,7033,6694,5437,4428,4561,3560,2520,2737
Sutton,209640,12793,14238,14373,11357,9945,12471,14716,16644,17139,15273,14718,13596,10639,8605,8360,5889,4309,4575
Swale,151705,8896,9438,9539,8194,7958,9414,10474,9970,9259,9406,10591,10709,8945,7643,8335,5831,3838,3265
Swansea,238519,11426,13016,13681,14448,19162,14226,15068,14519,13841,14027,15670,15989,14549,12711,13132,9565,6862,6627
Swindon,233396,13626,15155,14764,12273,12025,15282,17351,17331,16275,16352,16784,16009,13102,10559,9834,6981,4874,4819
Tameside,231024,13669,14699,14867,12451,11901,14950,16572,15732,14368,14660,16602,16278,13750,11242,11560,7981,5338,4404
Tamworth,78654,4445,4669,4872,4239,4201,5103,5628,5152,4684,5151,5787,5151,4651,4324,4243,2987,1846,1521
Tandridge,87889,4977,5287,5680,4844,3951,4075,4922,5585,5657,5954,6609,6501,5501,4613,4754,3633,2567,2779
Teignbridge,134767,5899,6887,7172,6298,5583,6452,7188,7207,7133,8074,9777,10834,9850,9319,9865,7496,4779,4954
Telford and Wrekin,185568,10564,11863,12143,10895,10968,11800,12718,12107,11209,12088,13484,12605,10388,9213,9104,6539,4289,3591
Tendring,148288,6702,7530,7757,6891,6762,7234,7567,6900,6972,8143,10097,11112,10767,10308,12080,9222,6241,6003
Test Valley,130496,6931,7801,7604,6344,5701,7328,8269,8231,8212,8832,9736,9652,8173,6866,7581,5688,3799,3748
Tewkesbury,94897,5311,5755,5510,4505,4108,5253,6197,5963,5788,5874,6675,6917,5919,5394,5628,4316,3036,2748
Thanet,140603,7329,7959,8300,7144,6738,7755,8533,8253,8090,8500,9767,9981,9001,8475,9281,6766,4466,4265
Three Rivers,93766,5120,5972,6456,5333,4419,4826,5461,6289,6903,6928,6918,6746,5424,4431,4458,3285,2273,2524
Thurrock,175970,12261,12663,12397,10448,9523,11794,14097,13850,12477,11650,11834,10758,8370,6707,6828,4407,3074,2832
Tonbridge and Malling,132176,7678,8537,8717,7548,5829,7118,8060,8306,8697,9438,9854,9409,7684,6345,6833,5125,3637,3361
Torbay,139302,6053,7309,7505,6724,6226,7122,7612,7317,7220,8204,10263,10701,9874,9204,10019,7547,5132,5270
Torfaen,92268,5005,5430,5628,4880,4697,5846,6269,5750,5173,5352,6373,6810,5904,5233,5217,3809,2522,2370
Torridge,68079,2796,3488,3558,3164,2771,3114,3395,3181,3310,3964,5067,5512,5446,5047,5445,3957,2455,2409
Tower Hamlets,310303,19088,17652,17398,18370,31981,44473,40699,29790,22640,17551,13926,10833,8445,6037,4334,2787,2230,2069
Trafford,235044,13458,16008,16444,13215,10532,12578,14901,17327,17384,16495,16451,15917,13051,10816,10672,7916,6048,5831
Tunbridge Wells,115300,6159,7098,8137,6512,4829,6005,6836,7268,7784,8482,8987,8088,6748,5448,5881,4491,3158,3389
Uttlesford,91335,5029,5711,5911,4998,3911,4398,5170,5746,5981,6306,7075,6828,5844,4822,4984,3677,2384,2560
Vale of Glamorgan,131940,6850,7918,8254,6942,6043,7172,7915,8122,8129,8267,9173,9487,8681,7797,7824,5744,3921,3701
Vale of White Horse,138940,7807,8375,8635,7344,6252,8391,9507,9481,9117,9147,9599,9583,8230,6965,7267,5467,3848,3925
Wakefield,353400,20070,20994,20832,17867,18017,23672,25307,23650,20742,22774,26342,25015,21535,18388,18522,13244,8862,7567
Walsall,284090,18186,19558,19564,17288,16160,17964,19649,19020,17369,17288,19160,17996,15432,12889,12525,9891,7446,6705
Waltham Forest,278419,18996,17440,16611,15152,15571,22535,28543,27085,23100,19337,18128,15446,12073,8807,7199,5085,3877,3434
Wandsworth,327502,18698,16910,15685,13082,23840,47658,38462,29299,24586,20820,18800,16223,12103,9098,8278,5715,4211,4034
Warrington,211002,10632,12358,12806,11130,10508,12514,13930,14208,13653,14324,16079,15881,12799,10717,10730,8212,5820,4701
Warwick,148479,7426,8166,8096,9243,10745,9552,10530,9950,9513,9522,10013,9707,7972,7065,7250,5728,3988,4013
Watford,102212,6526,6840,6709,5540,5327,7699,8808,8984,8340,7309,6790,5831,4637,3607,3271,2425,1776,1793
Waverley,128237,6464,7832,8608,7951,5619,5385,6382,7482,8452,9559,9670,9068,7754,6558,7079,5699,3997,4678
Wealden,160153,7188,8461,9031,8080,6671,7380,8013,8030,8433,10007,12109,12729,11536,10356,11548,8915,5819,5847
Welwyn Hatfield,119861,6630,7279,7091,8070,10571,7795,8170,8276,8020,7501,7711,7596,6342,4891,4697,3507,2727,2987
West Berkshire,161462,8306,9713,10643,9124,7355,8690,9633,10064,10541,11552,12591,11749,9974,8471,8589,6311,4183,3973
West Devon,57081,2196,2751,3149,2895,2114,2416,2644,2779,2835,3389,4271,4899,4469,4156,4463,3338,2184,2133
West Lancashire,117392,5247,6023,6532,8899,8097,5880,6483,6270,6139,7050,8490,8927,7644,6653,7053,5263,3663,3079
West Lindsey,95163,4407,5269,5303,4669,4090,4796,5093,5153,4985,5736,7185,7564,6919,6327,6673,5046,3190,2758
West Northamptonshire,425684,23949,26366,26865,23847,24159,27351,30787,29727,28508,28802,30228,28903,23516,19758,20503,14339,9288,8788
West Oxfordshire,114236,5715,6578,6871,5781,5325,6626,7074,7008,6996,7440,8362,8502,7215,6201,6484,5038,3417,3603
West Suffolk,179974,9825,10314,9846,8784,10544,12577,12890,11601,10720,10961,12284,12028,10210,9121,10135,7722,5444,4968
Westminster,204235,8504,7871,8639,10655,19328,23249,20911,16084,14066,13762,14388,12428,9579,7300,6336,4737,3279,3119
Westmorland and Furness,226614,9557,10691,11705,11325,10224,11962,12448,12148,11690,13754,17380,18501,16931,14911,16050,11718,8181,7438
Wigan,329339,17776,19252,19785,17468,17070,20824,22862,21676,19650,21431,24985,23245,19730,16908,18335,13474,8451,6417
Wiltshire,510372,25612,29548,30308,27341,24235,28568,30971,30588,29600,33410,37605,37984,33062,28790,29912,22412,15274,15152
Winchester,127448,6042,7330,7744,9207,8160,6321,6840,7292,7882,8404,8995,8960,7669,6480,6942,5358,3785,4037
Windsor and Maidenhead,153497,8020,9234,10489,8973,6771,7980,9299,10384,11227,11452,11708,10805,8833,7204,7319,5552,4020,4227
Wirral,320174,16310,18787,19257,16977,15077,17861,19751,19228,18370,19758,22953,23935,21520,18923,19093,13376,9710,9288
Woking,103944,6213,6748,6795,5303,4881,6398,7328,7887,8180,7655,7140,6734,5476,4489,4454,3233,2346,2684
Wokingham,177498,9856,12191,12467,10101,8243,9450,10681,12471,13870,13342,12590,11912,9795,7805,8055,6076,4264,4329
Wolverhampton,263743,16328,17726,17987,15359,15800,17081,18876,18356,17385,16972,18115,16446,14043,11839,10758,8132,6262,6278
Worcester,103887,5281,5834,5974,6296,7440,7141,7430,6880,6519,6648,7369,7079,5699,4989,4878,3570,2502,2358
Worthing,111333,5444,6110,6301,5434,5187,6242,7117,7022,7128,7589,8145,7924,6729,5849,6624,4853,3631,4004
Wrexham,135111,6998,8004,8247,7288,6995,7910,8677,8751,8126,8737,10124,9595,8277,7449,7593,5504,3536,3300
Wychavon,132496,6250,6926,7132,6507,5721,6875,7599,7401,7372,8360,10108,10284,9038,8387,8994,6684,4638,4220
Wyre,111927,4881,5582,5978,5650,4753,5482,5852,5763,5492,6349,8005,8786,8364,7562,8409,6297,4564,4158
Wyre Forest,101623,4811,5548,5603,5016,4656,5433,5881,5570,5459,6376,7684,7539,6374,6290,7210,5613,3512,3048
York,202814,8623,9907,10322,15214,20351,12966,12875,12537,11868,11938,13259,12948,11257,9781,10488,7469,5531,5480
